articolo,modello,MAE,RMSE,MAPE(%)
SLPSC002,"ARIMA(1, 1, 1)",1.0598384375334318e-11,1.2980316887919328e-11,3.2061045435937444e-07
SLPSC281,"ARIMA(1, 1, 1)",4.8506384768982066e-14,8.401552057508232e-14,1.3903858012837003e-06
SLDSC,"ARIMA(1, 1, 1)",5.425230514416349e-13,6.644523100833361e-13,4.4492346134562016e-06
CCM,"ARIMA(1, 1, 1)",1.9402582988833182e-13,3.360615785992701e-13,1.0101024482372676
SLP422,"ARIMA(1, 1, 1)",1.8068628821083247e-10,2.9123585277249625e-10,3.6107425436178064
SLPSC097,"ARIMA(1, 1, 1)",1.1398290667896323e-16,1.9742417461103524e-16,6.465155955891761
SLGB352,"ARIMA(1, 1, 1)",1.99159814586076e-12,2.442032236266269e-12,12.653983178407207
SLANT,"ARIMA(1, 1, 1)",1.8504150238394256e-11,2.8764619716241482e-11,22.84331399242704
SLPSC262,"ARIMA(1, 1, 1)",33.33378866677793,40.82481921643747,25.00217683199074
SLDST,"ARIMA(1, 1, 1)",7.062529729624489e-11,8.658149041600943e-11,26.098902687211133
SLPSC994,"ARIMA(1, 1, 1)",23.938413340039034,26.682192379297394,29.086298378481473
SLGB340,"ARIMA(1, 1, 1)",7.15279688975747e-14,1.238900761029831e-13,32.76910021348233
SLCLM,"ARIMA(1, 1, 1)",3.7154682189913066e-10,6.247983159141267e-10,32.8780309299465
SLGM814,"ARIMA(1, 1, 1)",6.859685767780995e-12,8.444753329557969e-12,43.135458939513555
SLGS849,"ARIMA(1, 1, 1)",146.04908656008993,166.61211124195282,59.76479000988344
SLGM816,"ARIMA(1, 1, 1)",1.3156238349539357e-11,1.99381468797165e-11,62.48252862406956
SLPSC671,"ARIMA(1, 1, 1)",16.746317112259106,28.83794920911347,99.89672870188006
SLPSC296,"ARIMA(1, 1, 1)",1.515824475977849e-14,1.8932641325785574e-14,99.99999629230476
CCB,Prophet,2.1638773735806657e-11,2.663116792752296e-11,100.0
SLGS819,"ARIMA(1, 1, 1)",1.583733440687259e-11,2.113992307515196e-11,100.0
SLGB390,"ARIMA(1, 1, 1)",8.679990060045383e-13,1.5034183793191433e-12,100.0
SLGB390,Prophet,8.679990060045383e-13,1.5034183793191433e-12,100.0
SLGS819,Prophet,1.583733440687259e-11,2.113992307515196e-11,100.0
CCB,"ARIMA(1, 1, 1)",2.1638773735806657e-11,2.663116792752296e-11,100.0
SLGM816,Prophet,1.3868668155237956e-11,2.1157916946372e-11,123.86568566550264
SLPSC002,Prophet,1.1757982220764165e-10,1.4271706505328512e-10,134.7754282414582
CCM,Prophet,3.314007158058405e-11,3.520520926731568e-11,169.99717170817078
SLGB482ANT,"ARIMA(1, 1, 1)",352.5648442123631,421.5094022903392,174.68950202992391
SLDSC,Prophet,2.135585711777869e-12,2.1758817065876123e-12,201.84886817550023
SLP422,Prophet,1.139093382424591e-09,1.1452633624593853e-09,202.6676714475105
SLPSC671,Prophet,150.32070728229542,157.9402853798836,297.43847881508196
SLPSC281,Prophet,1.123965143376297e-12,1.440393123523995e-12,377.35027434580763
SLGB340,Prophet,7.711714378937929e-14,1.1080505985734994e-13,405.97766838666126
SLPSC262,Prophet,509.93597334015845,537.7619363617985,713.0775250619959
SLPSC296,Prophet,1.5591873270937678e-13,1.7476298622845678e-13,979.8155265213084
SLPSC994,Prophet,343.0696462111334,361.2819794617845,994.6993582434725
SLI749,"ARIMA(1, 1, 1)",20625.408923537525,23495.286234640564,1118.5881544851102
SLDST,Prophet,1.5373322999585415e-09,1.676951275371429e-09,1261.5621598363975
SLGB482ANT,Prophet,3898.7242755375337,4664.654965837495,1400.8012894067044
SLCLM,Prophet,3.369154027697842e-09,3.744491442635048e-09,1433.3493531253025
SLPSC097,Prophet,2.4985434488650164e-14,2.6953802678821958e-14,1669.5798126667696
SLANT,Prophet,1.1748065610001033e-09,1.1969200904031776e-09,2303.723646714181
SLGB352,Prophet,3.805788821002889e-10,3.974535226550043e-10,2315.539688893411
SLGM814,Prophet,5.713424113551734e-10,6.52821977353856e-10,4296.991508312273
SLGS849,Prophet,6060.497145623675,7334.086541114535,5157.469884627093
SLI749,Prophet,364722.85924724914,368600.40277769126,12184.449096209093
SLP3100,"ARIMA(1, 1, 1)",15554.260550919831,18183.789475521833,50699.10922174804
SLP3100,Prophet,232834.29307041116,336265.35733605025,1308024.5289126835
SLPSC016,"ARIMA(1, 1, 1)",37.69896483636032,40.77943108316658,
SLPSC016,Prophet,874.069773310615,1066.1580295814365,
SLPSC272,"ARIMA(1, 1, 1)",0.0,0.0,
SLPSC272,Prophet,0.0,0.0,
SLPSC372,"ARIMA(1, 1, 1)",0.0,0.0,
SLPSC372,Prophet,0.0,0.0,
SLPSC993,"ARIMA(1, 1, 1)",15.00254966331975,15.00254981075333,
SLPSC993,Prophet,427.8894101341689,554.0868712196724,
